,191.06666666666666,Stream starting soon
3545.070455,3610.872363,"Q&A: Any plans for harnessing wildlife for your base, using Lizard Doggos as pack animals?"
3610.872363,3623.301698,Q&A: Can you see your character in third-person?
3623.301698,3734.266666666667,Q&A: What's the biggest bug you guys have seen so far?
3734.266666666667,3823.743738,Q&A: Where does the sense of humour/memes come from?
3823.733333333333,3836.94547,Q&A: Will there be breakdowns of machines and we have to fix & repair?
3842.669132,3860.976436,Q&A: Is there goats in Satisfactory?
3860.9666666666667,3923.903388,Q&A: How much time have you invested currently in Satisfactory?
3923.903388,3977.117038,Q&A: Will there be any cosmetics available?
3976.5,3984.431848,Q&A: Will there be Jetpacks in Satisfactory?
3984.431848,4022.49158,Q&A: Have the Alpha Testers done any art using Walls and Paint Guns?
4023.871916,4027.748785,Q&A: Long-range transport?
4026.366666666667,4036.169452,"Jace, Hannah, & Snutt Talk: One more good question"
4036.169452,4043.827266,Q&A: Can I play a Civilisation session with you guys?
4048.165275,4050.819876,Q&A: Pipes?
4052.6,4151.820477,Q&A: Controller support?
4151.833333333333,4293.933333333333,Outro
4293.933333333333,,End Tag
