0,984.641,Update 8 Known Issues and State of FICSMAS
0,52.959670673182764,Intro
52.99299960375116,715.8720996785981,Known Issues in Update 8
52.99299960375116,74.4901598203672,Intro
74.52348875093558,153.3797384757628,Vehicles
153.3797384757628,194.27433628318585,Ultrawide Monitor Support
194.30766521375423,260.96552635054815,First boot-up being slow
260.99885528111656,322.12411394355655,Flickering on Belts
322.15744287412497,338.55527671377627,Factory Animations slowing down
338.5886056443447,397.9141020560912,Multiplayer Issues
397.94743098665964,456.0064280368071,Controller Support
456.0397569673755,617.5184255712588,Crashes & Performance
456.0397569673755,489.8019636331616,Intro
489.8019636331616,617.5184255712588,Treptow's Top Troubleshooting Tips
489.8019636331616,512.1990049751244,Update your Graphics Drivers
512.2323339056928,524.0307753269053,Reset the Shader Cache
524.0641042574737,563.5255580504557,Switching the Rendering API
563.5588869810241,595.5879892572535,Verify your Game Files
595.621318187822,617.5184255712588,Identifying if a crash is GPU-related
617.5517545018272,715.8720996785981,Stability & Performance
715.9054286091666,948.4080482543037,The Future
715.9054286091666,818.200455,Online Subsystem patch on Experimental
715.9054286091666,730.3368555452824,Intro
730.3701844758509,798.227887113107,Online integration
798.2612160436755,816.2921674811782,Account Unlinking
816.2921674811782,818.200455,Outro
818.200455,866.8521551534363,FICSMAS 2023
866.8854840840048,948.4080482543037,Merch Sale
948.4413771848722,969.5385902346674,Outro
969.5719191652358,984.641,End Tag
