,53.18646666666667,Intro
53.229233,106.33956666666667,Jace Talk: Satisfactory Constructor Lego
106.37293333333334,194.29410000000001,Jace Talk: Planning Update 6 and beyond
194.32746666666668,274.534533,Jace Talk: Stream/YouTube schedule
274.534533,,Outro
