,7.94,Intro
7.94,29.52,Jannik Talk: Other games composed for
29.52,71.42,Jannik Talk: The vision for the Satisfactory music
71.42,114.46,Jannik Talk: Four different types of Satisfactory music
114.46,194.44,Jannik Talk: Satisfactory composition process
194.44,239.28,Jannik Talk: Productivity
239.28,280.26,Jannik Talk: Musical styles
280.26,303.68,Jannik Talk: Community Feedback
303.68,311.02,Outro
311.02,,End Tag
