,17.36,Intro
17.36,65.3,Jace Talk: Satisfactory sales figures
65.3,120.22,Jace Talk: Thank you to our Community
120.22,229.36,Jace Talk: Coffee Stain's trepidation over Satisfactory launch
229.36,272.9,Jace Talk: Outro
272.9,,End Tag
