,20.779934,Intro
20.779934,37.720185,Jace Talk: Hannah's Dev Highlight video
40.28,74.36,Q&A: Update 3 release date?
74.36,138.04,Q&A: What's in Update 3?
138.04,156.08,Q&A: Is this the last update?
156.08,287,Jace Talk: Workaround for broken save games
287,321.48,Q&A: Tier 8?
321.48,367,Q&A: What about smaller updates? Bug fixes etc.?
367,403.76,Q&A: Dedicated Servers?
403.76,439.72,Outro
439.72,,End Tag
