,6.88,Intro
6.88,55.48,Sofi Talk: Being a Concept Artist at Coffee Stain
55.48,114.64,Sofi Talk: Pioneer Concept Art (Part 1)
114.64,155.08,Sofi Talk: Working with Concept Art
155.08,183.72,Sofi Talk: Character Concept Art
183.72,205.52,Sofi Talk: Food Court
205.52,300.84,Sofi Talk: Pioneer Concept Art (Part 2)
300.84,338.16,Sofi Talk: My own art
338.16,345.52,Outro
345.52,,End Tag
