,143.441,whoops.mp4
0,19.919900000000002,Intro
19.953266666666668,63.69696666666667,Technical Difficulties
63.730333333333334,95.455171,"Thanks Snutt, helps a lot!"
95.455171,130.36356666666666,The current plan
130.397236,,Outro
